a,b,rho,xu,zu,N_front,k_spring,dz_max,dx_max,Cq_min,MR_min,MR_max,stroke_needed,F_shock_max,h_cap_rigid,h_cap_soft,feasible,failed
50.0,20.0,0.5,-40.0,20.0,34.3,12.95,36.8,-1.2,0.55,0.185,0.537,15.0,194.8,32.5,45.0,False,travel 37<50;Cq 0.55;shock min len
50.0,20.0,0.5,-40.0,40.0,34.3,12.97,36.8,-1.2,0.55,0.387,0.536,17.5,226.6,32.5,45.0,False,travel 37<50;Cq 0.55;shock min len
50.0,20.0,0.5,-40.0,60.0,34.3,13.24,36.8,-1.2,0.55,0.437,0.531,18.0,238.6,32.5,45.0,False,travel 37<50;Cq 0.55
50.0,20.0,0.5,-20.0,20.0,34.3,17.6,36.8,-1.2,0.55,0.459,0.522,17.6,309.0,32.5,45.0,False,travel 37<50;Cq 0.55;shock min len
50.0,20.0,0.5,-20.0,40.0,34.3,16.35,36.8,-1.2,0.55,0.478,0.521,18.2,297.1,32.5,45.0,False,travel 37<50;Cq 0.55;shock min len
50.0,20.0,0.5,-20.0,60.0,34.3,15.89,36.8,-1.2,0.55,0.484,0.515,18.3,290.6,32.5,45.0,False,travel 37<50;Cq 0.55
50.0,20.0,0.5,0.0,20.0,34.3,56.89,36.8,-1.2,0.55,0.256,0.356,11.0,624.0,32.5,45.0,False,travel 37<50;Cq 0.55;shock min len
50.0,20.0,0.5,0.0,40.0,34.3,29.14,36.8,-1.2,0.55,0.358,0.492,15.3,444.5,32.5,45.0,False,travel 37<50;Cq 0.55
50.0,20.0,0.5,0.0,60.0,34.3,22.9,36.8,-1.2,0.55,0.404,0.521,16.7,383.5,32.5,45.0,False,travel 37<50;Cq 0.55
50.0,20.0,0.7,-40.0,20.0,34.3,6.94,36.8,-1.2,0.55,0.519,0.733,25.1,174.4,32.5,45.0,False,travel 37<50;Cq 0.55;shock min len
50.0,20.0,0.7,-40.0,40.0,34.3,7.14,36.8,-1.2,0.55,0.659,0.723,25.7,183.4,32.5,45.0,False,travel 37<50;Cq 0.55;shock min len
50.0,20.0,0.7,-40.0,60.0,34.3,7.25,36.8,-1.2,0.55,0.677,0.717,25.8,186.8,32.5,45.0,False,travel 37<50;Cq 0.55
50.0,20.0,0.7,-20.0,20.0,34.3,13.41,36.8,-1.2,0.55,0.521,0.53,19.3,259.3,32.5,45.0,False,travel 37<50;Cq 0.55;shock min len
50.0,20.0,0.7,-20.0,40.0,34.3,10.38,36.8,-1.2,0.55,0.6,0.723,23.7,245.9,32.5,45.0,False,travel 37<50;Cq 0.55;shock min len
50.0,20.0,0.7,-20.0,60.0,34.3,9.39,36.8,-1.2,0.55,0.63,0.737,24.8,232.3,32.5,45.0,False,travel 37<50;Cq 0.55
50.0,20.0,0.7,0.0,20.0,34.3,45.31,36.8,-1.2,0.55,0.287,0.381,12.1,546.1,32.5,45.0,False,travel 37<50;Cq 0.55;shock min len
50.0,20.0,0.7,0.0,40.0,34.3,19.7,36.8,-1.2,0.55,0.435,0.614,18.8,369.5,32.5,45.0,False,travel 37<50;Cq 0.55
50.0,20.0,0.7,0.0,60.0,34.3,14.17,36.8,-1.2,0.55,0.513,0.699,21.8,308.8,32.5,45.0,False,travel 37<50;Cq 0.55
50.0,20.0,0.9,-40.0,20.0,34.3,5.22,36.8,-1.2,0.55,0.795,0.845,30.6,159.6,32.5,45.0,False,travel 37<50;Cq 0.55;shock min len
50.0,20.0,0.9,-40.0,40.0,34.3,4.98,36.8,-1.2,0.55,0.862,0.944,32.6,162.4,32.5,45.0,False,travel 37<50;Cq 0.55;shock min len
50.0,20.0,0.9,-40.0,60.0,34.3,4.87,36.8,-1.2,0.55,0.873,0.931,32.9,160.2,32.5,45.0,False,travel 37<50;Cq 0.55
50.0,20.0,0.9,-20.0,20.0,34.3,12.15,36.8,-1.2,0.55,0.456,0.554,19.0,230.8,32.5,45.0,False,travel 37<50;Cq 0.55;shock min len
50.0,20.0,0.9,-20.0,40.0,34.3,7.97,36.8,-1.2,0.55,0.684,0.835,27.2,216.5,32.5,45.0,False,travel 37<50;Cq 0.55;shock min len
50.0,20.0,0.9,-20.0,60.0,34.3,6.68,36.8,-1.2,0.55,0.747,0.927,30.0,200.7,32.5,45.0,False,travel 37<50;Cq 0.55
50.0,20.0,0.9,0.0,20.0,34.3,39.94,36.8,-1.2,0.55,0.306,0.389,12.6,503.2,32.5,45.0,False,travel 37<50;Cq 0.55
50.0,20.0,0.9,0.0,40.0,34.3,15.51,36.8,-1.2,0.55,0.49,0.688,21.1,327.0,32.5,45.0,False,travel 37<50;Cq 0.55
50.0,20.0,0.9,0.0,60.0,34.3,10.37,36.8,-1.2,0.55,0.6,0.84,25.8,267.3,32.5,45.0,False,travel 37<50;Cq 0.55
50.0,30.0,0.5,-40.0,20.0,34.3,10.51,39.2,-7.6,0.676,0.358,0.578,19.0,199.8,32.5,45.0,False,travel 39<50;Cq 0.68;shock min len
